id,updated,created,name,iban,bic,currency,receive,send,sctInst,amlEnabled,assetId
16,2025-12-05 14:27:39,2025-12-05 14:27:39,Yapeal,CH6783019DFXEUR000002,YAPECHZ2,EUR,TRUE,TRUE,FALSE,TRUE,405
15,2025-12-05 14:27:39,2025-12-05 14:27:39,Yapeal,CH5283019DFXCHF000001,YAPECHZ2,CHF,TRUE,TRUE,FALSE,TRUE,404
14,2025-09-10 23:30:56,2025-09-10 23:30:56,Maerki Baumann,LU116060002000005040,OLKILUL1,EUR,FALSE,FALSE,FALSE,TRUE,
13,2025-09-10 23:30:07,2025-09-10 23:30:07,Maerki Baumann,CH4880808002186504370,RAIFCH22,CHF,FALSE,FALSE,FALSE,TRUE,
12,2025-09-10 23:30:07,2025-09-10 23:30:07,Maerki Baumann,CH7780808002608614092,RAIFCH22,EUR,FALSE,FALSE,FALSE,TRUE,
11,2025-09-10 23:30:07,2025-09-10 23:30:07,Kaleido,CH8308245111962201333,ANPRCH22XXX,USD,FALSE,FALSE,FALSE,TRUE,
10,2025-09-10 23:30:07,2025-09-10 23:30:07,Kaleido,CH6008245111962202814,ANPRCH22XXX,EUR,FALSE,FALSE,FALSE,TRUE,
9,2025-09-10 23:30:07,2025-09-10 23:30:07,Kaleido,CH6008245111962200001,ANPRCH22XXX,CHF,FALSE,FALSE,FALSE,TRUE,
8,2025-09-10 23:30:06,2025-09-10 23:30:06,Maerki Baumann,CH3808573109968202333,MAEBCHZZ,USD,FALSE,FALSE,FALSE,TRUE,
7,2024-02-26 14:38:00,2024-02-26 14:38:00,Revolut,GB77REVO00996972945099,REVOGB21,EUR,FALSE,FALSE,TRUE,TRUE,
